Prefix	Description
219.227.170.0/24	Shenzhen Mingzhu Chinese And English Primary School China
219.227.172.0/23	Shenzhen Jiaoyuan Middle School China
219.227.174.0/23	Baoan Senior High School China
219.228.0.0/16	China Education and Research Network China
219.228.0.0/20	CERNET Shanghai XiaoXiaoTong Network China
219.228.16.0/21	CERNET Shanghai XiaoXiaoTong Network China
219.228.24.0/21	CERNET Shanghai XiaoXiaoTong Network China
219.228.32.0/20	Shanghai Teachers University China
219.228.48.0/21	Shanghai Medical Instrumentation College China
219.228.48.0/24	China
219.228.56.0/21	East China Normal University China
219.228.64.0/20	Donghua University China
219.228.71.0/24	Donghua University China
219.228.96.0/19	Shanghai JiaoTong University China
219.228.128.0/20	East China Normal University China
219.228.144.0/21	East China Normal University China
219.228.160.0/20	Shanghai Electronic Information Poly-tech. Vocational China
219.228.160.0/24	China
219.228.176.0/20	Shanghai Theater Academy China
219.228.176.0/24	China
219.228.192.0/24	Dayu College China
219.228.224.0/19	Jimei University China
219.229.0.0/16	China Education and Research Network China
219.229.0.0/19	Cernet Broadband Dormitory Areas, Xiamen University China
219.229.32.0/20	Cernet Broadband Dormitory Areas, Xiamen University China
219.229.48.0/20	Xiamen National Accounting Institute China
219.229.64.0/20	Quanzhou Teachers College China
219.229.80.0/20	Xiamen University Zhangzhou Campus China
219.229.96.0/19	Xiamen University Zhangzhou Campus China
219.229.101.0/24	Xiamen University Zhangzhou Campus China
219.229.128.0/20	New Campus of Fuzhou University China
219.229.132.0/24	China
219.229.144.0/21	Fujian University of Technology China
219.229.152.0/21	Fuzhou University China
219.229.152.0/24	China
219.229.156.0/24	Fuzhou University China
219.229.160.0/19	Fujian Normal University China
219.229.192.0/19	Jiangxi Agricultural University China
219.229.224.0/20	Jiangxi University of Science and Technology China
219.229.224.0/24	China
219.229.240.0/20	Jiangxi Normal University China
219.230.32.0/20	ChangZhou Textile Garment Institute China
219.230.34.0/24	ChangZhou Textile Garment Institute China
219.230.48.0/20	Nanjing Xiaozhuang College China
219.230.51.0/24	Nanjing Xiaozhuang College China
219.230.64.0/18	Nanjing University of Science & Technology China
219.230.128.0/19	China Education and Research Network China
219.230.144.0/20	Jiangsu Polytechnic University China
219.230.160.0/19	China Education and Research Network China
219.230.176.0/20	Jiangsu College of Information Technology China
219.230.178.0/24	Jiangsu College of Information Technology China
219.230.192.0/18	Xuzhou Normal University China
219.231.0.0/20	AnHui Institute of Architecture & Industry China
219.231.0.0/24	China
219.231.16.0/21	Chuzhou Teachers College China
219.231.24.0/23	Xuan Cheng Vocational & Technicall College China
219.231.32.0/20	HeFei University China
219.231.35.0/24	HeFei University China
219.231.48.0/21	An Qing Teacher's College China
219.231.56.0/21	An Qing Teacher's College China
219.231.128.0/20	Affiliated Network of Shandong University China
219.231.144.0/20	Student Network of Shandong University China
219.231.160.0/20	Shandong University at Weihai China
219.231.192.0/20	Jining Educational Hi-Tech Centre China
219.231.207.0/24	Jining Educational Hi-Tech Centre China
219.231.208.0/21	Shangdong Institute of Education China
219.231.216.0/21	Shandong Institute of Business and Technology China
219.242.0.0/15	China Education and Research Network China
219.242.16.0/22	Beijing Dance Academy China
219.242.16.0/24	China
219.242.20.0/22	University of international relations China
219.242.20.0/24	China
219.242.24.0/21	China Women's College China
219.242.24.0/24	China Women's College China
219.242.26.0/24	China Women's College China
219.242.28.0/24	China Women's College China
219.242.32.0/20	Beijing Agricultural College China
219.242.32.0/24	China
219.242.33.0/24	Beijing Agricultural College China
219.242.34.0/24	Beijing Agricultural College China
219.242.35.0/24	Beijing Agricultural College China
219.242.36.0/24	Beijing Agricultural College China
219.242.37.0/24	Beijing Agricultural College China
219.242.38.0/24	Beijing Agricultural College China
219.242.39.0/24	Beijing Agricultural College China
219.242.40.0/24	Beijing Agricultural College China
219.242.41.0/24	Beijing Agricultural College China
219.242.42.0/24	Beijing Agricultural College China
219.242.43.0/24	Beijing Agricultural College China
219.242.44.0/24	Beijing Agricultural College China
219.242.45.0/24	Beijing Agricultural College China
219.242.46.0/24	Beijing Agricultural College China
219.242.48.0/21	Beijing Institute of Civil Engineering and Architecture China
219.242.49.0/24	Beijing Institute of Civil Engineering and Architecture China
219.242.50.0/24	Beijing Institute of Civil Engineering and Architecture China
219.242.51.0/24	Beijing Institute of Civil Engineering and Architecture China
219.242.56.0/21	Beijing Institute of Civil Engineering and Architecture China
219.242.64.0/20	China University of Mining and Technology (Beijing) China
219.242.96.0/20	Beijing University of Chemistry Technology China
219.242.112.0/20	Northern Jiaotong University China
219.242.176.0/21	Beijing CERNET Online China
219.242.184.0/21	Beijing CERNET Online China
219.242.192.0/20	Uiniversity of International Business and Economics China
219.242.208.0/20	Beijing Sport University China
219.242.208.0/24	Beijing Sport University China
219.242.240.0/20	Northern Jiaotong University China
219.243.0.0/20	Tianjin Vocational Technical Teachers' College China
219.243.10.0/24	Tianjin Vocational Technical Teachers' College China
219.243.16.0/21	Tianjin Traditional Chinese Medicine College China
219.243.24.0/22	Tianjin University of Commerce Boustead College China
219.243.24.0/24	China
219.243.32.0/20	Tianjin University China
219.243.38.0/24	China
219.243.39.0/24	China
219.243.48.0/20	Tianjin Institute Of Industry Professional Technology China
219.243.64.0/20	Langfang Teachers College China
219.243.80.0/20	Hebei University of Technology China
219.243.95.0/24	China
219.243.116.0/24	The Central Institute for Correctional Police China
219.243.117.0/24	Tangshan Vocational and Technical College China
219.243.128.0/21	SHANXI COLLEGE OF TRADITIONAL CHINESE MEDICINE China
219.243.136.0/21	Jincheng Vocational and Technical College China
219.243.136.0/24	Jincheng Vocational and Technical College China
219.243.144.0/21	Shanxi Communication Vocational and Technical College China
219.244.0.0/14	China Education and Research Network China
219.244.0.0/20	Yanan University China
219.244.0.0/24	China
219.244.2.0/24	China
219.244.16.0/20	Xi'an Insititute of Physical Education China
219.244.16.0/24	China
219.244.17.0/24	Xi'an Insititute of Physical Education China
219.244.18.0/24	Xi'an Insititute of Physical Education China
219.244.28.0/24	Xi'an Insititute of Physical Education China
219.244.29.0/24	Xi'an Insititute of Physical Education China
219.244.32.0/21	Xi'an Institute of Statistics China
219.244.40.0/21	Xi'an Electric Power Institute China
219.244.48.0/20	Xi'an University of Science and Technology China
219.244.64.0/21	Shaanxi Normal University China
219.244.80.0/20	Xi'an University of Technology China
219.244.96.0/20	Xi`an University of Architecture and Technology China
219.244.112.0/20	Xidian University China
219.244.160.0/19	China
219.244.192.0/19	Fourth Military Medical University China
219.244.208.0/24	China
219.244.212.0/24	China
219.244.221.0/24	China
219.244.222.0/24	China
219.244.223.0/24	China
219.244.224.0/19	Xi'an Petroleum University China
219.245.0.0/19	Northwest University China
219.245.18.0/24	China
219.245.32.0/20	Xi'an Jiao Tong University China
219.245.48.0/20	Fourth Military Medical University China
219.245.64.0/18	Xidian University China
219.245.128.0/19	Xi'an Jiao Tong University China
219.245.160.0/19	Xi'an Jiao Tong University China
219.245.191.0/24	Xi'an Jiao Tong University China
219.245.192.0/19	Northwest Sci-Tech University of Agriculture and Forestry China
219.246.0.0/20	Lanzhou Railway Institute China
219.246.0.0/24	Lanzhou Railway Institute China
219.246.8.0/24	Lanzhou Railway Institute China
219.246.16.0/21	Lanzhou Teachers College China
219.246.16.0/24	Lanzhou Teachers College China
219.246.18.0/24	Lanzhou Teachers College China
219.246.32.0/19	China Education and Research Network China
219.246.64.0/19	China Education and Research Network China
219.246.96.0/20	Hexi University China
219.246.112.0/20	Gansu University of Technology China
219.246.128.0/20	GANSU POLITICAL SCIENCE AND LAW INSTITUTE China
219.246.129.0/24	GANSU POLITICAL SCIENCE AND LAW INSTITUTE China
219.246.144.0/20	Lanzhou Commercial college China
219.246.144.0/24	Lanzhou Commercial college China
219.246.160.0/20	Hexi University(college of Agriculture & Forestry ) China
219.246.176.0/20	Lanzhou University Yuzhong Campus China
219.246.192.0/19	Northwest Normal University China
219.246.224.0/19	Gansu University of Technology China
219.247.0.0/20	Shihezi University China
219.247.16.0/23	Xinjiang Engineering College China
219.247.18.0/23	Xinjiang Engineering College China
219.247.20.0/22	Xinjiang Engineering College China
219.247.24.0/21	Xinjiang Light Industrial Institute of Professional China
219.247.32.0/20	YiLi teachers college China
219.247.48.0/20	Xinjiang University China
219.247.64.0/20	Changji College China
219.247.96.0/20	Xinjiang Institute of Finance and Economics China
219.247.111.0/24	Xinjiang Institute of Finance and Economics China
219.247.128.0/21	The Second Northwest University for Minorities China
219.247.136.0/21	The Second Northwest University for Minorities China
219.247.192.0/21	Qinghai Communication Technology college China
219.247.199.0/24	Qinghai Communication Technology college China
219.247.214.0/24	Qinghai Architectural Vocational and Technical College China
219.247.216.0/21	Qinghai Province Department of Education China
219.247.216.0/24	Qinghai Province Department of Education China
219.247.217.0/24	Qinghai Province Department of Education China
219.247.218.0/24	Qinghai Province Department of Education China
219.247.224.0/20	Qinghai Normal University China
219.247.230.0/24	Qinghai Normal University China
219.247.231.0/24	Qinghai Normal University China
219.247.232.0/24	Qinghai Normal University China
219.247.233.0/24	Qinghai Normal University China
219.247.234.0/24	Qinghai Normal University China
219.247.240.0/20	Qinghai Minorities College China
219.247.240.0/24	Qinghai Minorities College China
219.247.241.0/24	Qinghai Minorities College China
219.247.242.0/24	Qinghai Minorities College China
222.16.0.0/12	Asia Pacific Network Information Centre China
222.16.0.0/13	Asia Pacific Network Information Centre China
222.16.0.0/16	China Education and Research Network China
222.16.8.0/21	GuangDong Polytechnic Normal University China
222.16.16.0/20	GuangDong Polytechnic Normal University China
222.16.32.0/19	South China University Of Technology China
222.16.64.0/20	Guangzhou University of Tradicinal Chinese Medicine China
222.16.80.0/22	Bureau of Education of Guangzhou Municipality China
222.16.80.0/24	Bureau of Education of Guangzhou Municipality China
222.16.82.0/24	Bureau of Education of Guangzhou Municipality China
222.16.84.0/23	Guanzhou Trade Vocational Senior School China
222.16.86.0/23	Jui Buqian Primary School China
222.16.88.0/24	Huimin Primary School,Guangzhou China
222.16.89.0/24	Yun Tai Li Kindergarten China
222.16.90.0/23	The Children's Sports School of YueXiu District China
222.16.92.0/23	Haizhuzhong Road Primary School China
222.16.94.0/23	Chao tian Primary School of GuangZhou China
222.16.128.0/22	Guangzhou No.17 Middle school China
222.16.132.0/23	Guangzhou No.3 Middle School China
222.16.134.0/23	Guangzhou No.10 Middle School China
222.16.138.0/23	Guangzhou No.34 Middle School China
222.16.140.0/24	No.37 Middle School of Guangzhou China
222.16.141.0/24	Guangzhou Bayi Xiwang School China
222.16.142.0/23	Eeducation Information Center Of Dongshan District,Guangzhou China
222.16.144.0/23	Guangzhou NO. 46 Middle School China
222.16.146.0/23	Guanzhou No.99 Middle School China
222.16.148.0/23	Dongfengxi Road Primary School China
222.16.150.0/23	Yahetang Primary School China
222.16.152.0/23	Guangzhou No.39 Middle school China
222.16.154.0/23	Guangzhou Zhi Yong Middle School China
222.16.156.0/24	Children's Palace of Yuexiu District China
222.16.157.0/24	GuangZhou True Light Primary School China
222.16.158.0/24	Teachers' Training School Of Yuexiu District China
222.16.159.0/24	Renminbei Primary School in Yuexiu,Guangzhou China
222.16.160.0/23	GuangZhou University Experimental Middle School China
222.16.162.0/24	XiaoBei Lu Primary School China
222.16.163.0/24	Zhong Liu Kindergarten China
222.16.164.0/23	Guang zhou BaiYun Education Bureau China
222.16.166.0/23	Guangzhou Entrance Examination and Enrolment Committee Office China
222.16.168.0/24	Audio-visual Education Center of Guangzhou China
222.16.169.0/24	Guihuagang primary school China
222.16.172.0/24	Panfu Road Primary School l China
222.16.173.0/24	English School Attached to Guangdong University of Foreign China
222.16.174.0/23	Guang Zhou NO.2 middle school China
222.16.176.0/22	Guangzhou Textile Secondary Technical School China
222.16.180.0/23	GuangZhou No81 Middle School China
222.16.182.0/23	Zhongxin Primary School China
222.16.184.0/21	Guangzhou Practice & Experience Training School China
222.16.192.0/24	Beijing Normal University zhuhai campus China
222.16.224.0/20	HanShan Normal University China
222.17.0.0/16	China Education and Research Network China
222.17.0.0/21	guangyahighschool China
222.17.8.0/22	Guangzhou Wei-Lun sports school China
222.17.12.0/23	ZhiXinNan Primary School China
222.17.14.0/23	Dongshan Children's Palace,Guangzhou China
222.17.24.0/22	Middle School Attached to Guangzhou University China
222.17.32.0/19	Foshan University China
222.17.64.0/20	Guangdong Industry Technical College China
222.17.86.0/23	Cong Hua Qi Zhong China
222.17.96.0/19	Huizhou University China
222.17.128.0/20	Qiongzhou University China
222.17.144.0/20	Hainan University China
222.17.168.0/24	Hainan Foreign Languages Vocational College China
222.17.176.0/23	Hainan University Sanya College China
222.17.178.0/23	Hainan University Sanya College China
222.17.180.0/22	Hainan University Sanya College China
222.17.192.0/20	Qiongtai Teachers College China
222.17.192.0/24	Qiongtai Teachers College China
222.17.208.0/20	Hainan Medical College China
222.17.224.0/21	HaiNan Normal University China
222.17.232.0/21	HaiNan Normal University China
222.17.240.0/20	Hainan Software Profession Institute China
222.17.240.0/24	China
222.18.0.0/19	Sichuan University Jiang'an Campus China
222.18.64.0/20	Civil Aviation Flight University of China China
222.18.80.0/20	Sichuan Architrcture Professional Technology College China
222.18.80.0/24	China
222.18.112.0/20	Chengdu University of Information Technology China
222.18.128.0/18	Chengdu University of Information Technology China
222.18.192.0/19	Xihua University China
222.18.224.0/19	Chengdu Institute Of Physical Education China
222.18.224.0/24	China
222.18.227.0/24	Chengdu Institute Of Physical Education China
222.18.228.0/24	Chengdu Institute Of Physical Education China
222.18.231.0/24	Chengdu Institute Of Physical Education China
222.18.232.0/24	Chengdu Institute Of Physical Education China
222.18.233.0/24	Chengdu Institute Of Physical Education China
222.18.234.0/24	Chengdu Institute Of Physical Education China
222.18.235.0/24	Chengdu Institute Of Physical Education China
222.18.236.0/24	Chengdu Institute Of Physical Education China
222.18.237.0/24	Chengdu Institute Of Physical Education China
222.18.238.0/24	Chengdu Institute Of Physical Education China
222.18.239.0/24	Chengdu Institute Of Physical Education China
222.18.255.0/24	Chengdu Institute Of Physical Education China
222.19.48.0/20	China Education and Research Network China
222.19.48.0/24	China
222.19.64.0/19	Tibet University China
222.19.64.0/24	Tibet University China
222.19.65.0/24	Tibet University China
222.19.68.0/24	Tibet University China
222.19.84.0/24	Tibet University China
222.19.94.0/24	Tibet University China
222.19.96.0/22	Tibet Traditional Medicine College China
222.19.112.0/20	Tibet University China
222.19.128.0/20	Zunyi Normal College China
222.19.144.0/22	Guizhou Education Office China
222.19.148.0/24	Guizhou Party School China
222.19.168.0/21	Bijie College China
222.19.168.0/24	China
222.19.190.0/24	Guizhou Communications Vocational and Technical College China
222.19.192.0/19	Yunnan University China
222.19.224.0/20	Yunnan University China
222.19.240.0/20	Yunnan Normal University China
222.20.0.0/17	East-Zone for HuaZhong University of Science and Technology China
222.20.128.0/19	Zhongnan University of Economics and Law China
222.20.128.0/24	Zhongnan University of Economics and Law China
222.20.129.0/24	Zhongnan University of Economics and Law China
222.20.160.0/21	Wuhan Polytechnic College of Industry & Communication China
222.20.160.0/24	Wuhan Polytechnic College of Industry & Communication China
222.20.192.0/18	Wuhan University China
222.20.193.0/24	Wuhan University China
222.21.0.0/20	Hebi College of Vocation and Technology China
222.21.0.0/24	Hebi College of Vocation and Technology China
222.21.32.0/19	Xinyang Normal University China
222.21.80.0/21	Henan Chemical Industry School China
222.21.80.0/24	Henan Chemical Industry School China
222.21.88.0/21	Shang Qiu Health School China
222.21.88.0/24	Shang Qiu Health School China
222.21.112.0/21	Zhang Zhou Vocational College Of Economics And Trade China
222.21.120.0/21	Henan Education Admission Office China
222.21.128.0/21	XuChang University China
222.21.136.0/21	XuChang University China
222.21.144.0/21	XuChang University China
222.21.160.0/20	Luohe Vocational & Technical College China
222.21.176.0/20	Henan Business College China
222.21.192.0/20	Zhoukou Vocational Technical College China
222.21.192.0/24	Zhoukou Vocational Technical College China
222.21.199.0/24	Zhoukou Vocational Technical College China
222.21.218.0/24	CERNET~{V#V]=Z5c~} China
222.21.219.0/24	CERNET~{V#V]=Z5c~} China
222.21.220.0/24	CERNET~{V#V]=Z5c~} China
222.21.222.0/24	CERNET~{V#V]=Z5c~} China
222.21.223.0/24	CERNET~{V#V]=Z5c~} China
222.22.0.0/18	Zhengzhou University China
222.22.64.0/20	Zhengzhou University China
222.22.80.0/20	Zhongyuan Institute of Technology China
222.22.96.0/22	HENAN Vocational & Technical College China
222.22.112.0/20	Henan Polytechnic University China
222.22.224.0/19	Central South Forestry University China
222.23.0.0/20	Teacher and student's Domitory Network of Northwest Normal University West campus China
222.23.15.0/24	Teacher and student's Domitory Network of Northwest Normal University West campus China
222.23.16.0/20	Longnan Teacher's College China
222.23.32.0/20	Northwest Minorities University China
222.23.48.0/20	Gansu Province Education and Research Network China
222.23.64.0/20	Gansu Province Education and Research Network China
222.23.84.0/22	China Education and Research Network China
222.23.88.0/21	GANSU College of Communication Technology China
222.23.88.0/24	GANSU College of Communication Technology China
222.23.96.0/19	Lanzhou University of Technology China
222.23.144.0/20	Gansu Aricultural University China
222.23.160.0/21	Gansu Aricultural University China
222.23.168.0/21	Lanzhou Teachers College China
222.23.176.0/20	Lanzhou Commercial college China
222.23.192.0/18	Ningxia University China
222.23.209.0/24	Ningxia University China
222.23.231.0/24	Ningxia University China
222.24.0.0/13	Asia Pacific Network Information Centre China
222.24.0.0/18	Xian Institute of Posts & Telecoms China
222.24.19.0/24	China
222.24.64.0/18	Shaanxi University of Science & Technology China
222.24.64.0/24	China
222.24.70.0/24	China
222.24.94.0/24	China
222.24.128.0/24	Xi'An University Of Architecture & Techology University-CDDLN China
222.24.192.0/18	Northwestern Polytechnical University China
222.24.192.0/24	China
222.25.0.0/18	Xi'an Institute of Technology China
222.25.64.0/20	Xi'an Institute of Technology China
222.25.80.0/20	Yanan University China
222.25.128.0/18	Xidian University China
222.25.208.0/21	Xinjiang University of Finance & Economics China
222.25.216.0/21	Xinjiang University of Finance & Economics China
222.25.224.0/19	Xinjiang agriculture University China
222.26.0.0/19	Liaoning University China
222.26.32.0/19	Liaoning University of Petroleum & Chemical China
222.26.64.0/18	Liaoning University CERNET Integration department Dormitory China
222.26.128.0/20	Dalian Maritime University China
222.26.144.0/20	Dongbei University of Finance & Economics China
222.26.160.0/20	Dalian University of Technology China
222.26.176.0/20	Dalian University of Technology China
222.26.192.0/19	Dalian University of Technology China
222.26.224.0/20	Software Technology Institute of Dalian Jiaotong China
222.26.240.0/20	Dalian Fisheries University China
222.27.0.0/21	Jilin Vocational College of Industry & Technology China
222.27.0.0/24	China
222.27.8.0/21	Changchun University China
222.27.16.0/20	Yanbian University China
222.27.48.0/20	ChangChun University Of Technology China
222.27.64.0/19	The Quartermaster University of PLA China
222.27.71.0/24	China
222.27.96.0/20	Northeast Normal University China
222.27.130.0/24	China
222.27.144.0/20	Harbin Engineering University China
222.27.160.0/22	North East Forest University China
222.27.164.0/22	North East Forest University China
222.27.168.0/21	North East Forest University China
222.27.176.0/22	Harbin University of Commerce China
222.27.180.0/22	Harbin University of Commerce China
222.27.184.0/22	Harbin University of Commerce China
222.27.188.0/22	Harbin University of Commerce China
222.27.192.0/20	Harbin University Of Science & Technology China
222.27.224.0/20	North East Forest University China
222.27.240.0/20	Harbin Engineering University China
222.28.0.0/14	China Education and Research Network China
222.28.0.0/20	China Foreign Affairs University China
222.28.16.0/21	Central Academy of Fine Arts China
222.28.32.0/19	University of Science and Technology Beijing China
222.28.64.0/20	University of Science and Technology Beijing China
222.28.80.0/20	Beijing Language and Culture University China
222.28.94.0/23	Beijing Language and Culture University China
222.28.96.0/20	Peking University Health Science Center(formerly known as China
222.28.112.0/20	Beijing Forestry University China
222.28.160.0/19	Peking Union Medical College China
222.28.207.0/24	CERNET CORPORATION China
222.28.208.0/24	CERNET CORPORATION China
222.28.209.0/24	CERNET CORPORATION China
222.28.213.0/24	CERNET CORPORATION China
222.28.215.0/24	CERNET CORPORATION China
222.28.216.0/24	China Education and Research Network China
222.28.224.0/20	Central University for Nationalities China
222.28.240.0/20	Beijing Foreign Studies University China
222.29.0.0/17	Peking University New Campu Network China
222.29.128.0/19	Peking University New Campu Network China
222.29.158.0/24	Peking University New Campu Network China
222.29.160.0/19	Capital University of Medical Sciences China
222.29.192.0/18	Renmin University of China China
222.30.0.0/21	TianShi University China
222.30.0.0/24	China
222.30.8.0/21	Tianjin Institute of Foreign Economic Relations and China
222.30.16.0/20	Tianjin University China
222.30.32.0/19	Nankai University China
222.30.60.0/24	China
222.30.64.0/20	Tianjin Institute of Urban Construction China
222.30.88.0/21	Tianjin Foreign Studies University China
222.30.96.0/20	Tianjin Professional College China
222.30.136.0/21	Hebei Medical University China
222.30.144.0/20	China
222.30.160.0/21	Shijiazhuang Institute of Railway Technology China
222.30.168.0/21	Baoding Vocational and Technical College China
222.30.176.0/20	Hebei Institude of Vocation and Technology China
222.30.192.0/21	Baoding college of Finance China
222.30.192.0/24	China
222.30.204.0/23	Hebei Institute of Mechanical and Electronic Technology China
222.30.206.0/23	Langfang Professional Technical College China
222.30.208.0/20	Hebei University of Economics and Business China
222.30.224.0/19	Hebei Teachers' University China
222.31.0.0/21	Taiyuan Normal University China
222.31.8.0/21	Yuncheng University China
222.31.16.0/22	ShanXi Provincial Administration Center for Enrolment and China
222.31.20.0/22	Shanxi Police Academy China
222.31.24.0/21	Yuncheng University China
222.31.32.0/19	North China University of Science and Technology China
222.31.64.0/18	Beijing Broadcasting University China
222.31.128.0/19	Beijing Institute Of Petro-chemical Technology China
222.31.160.0/19	Beijing Forestry University China
222.31.208.0/20	Inner Mongolia University China
222.31.208.0/24	China
222.31.209.0/24	China
222.31.210.0/24	China
222.31.224.0/20	Inner Mongolia Architecture Academy China
222.31.240.0/20	Inner Mongolia Medical College China
222.192.0.0/12	Asia Pacific Network Information Centre China
222.192.0.0/20	Nanjing Normal University China
222.192.16.0/20	Suzhou University China
222.192.32.0/19	Nantong Teachers University China
222.192.60.0/24	Nantong Teachers University China
222.192.64.0/18	Nanjing University Of Aeronautics And Astronautics China
222.192.78.0/24	Nanjing University Of Aeronautics And Astronautics China
222.192.128.0/20	Nanjing Engineering School China
222.192.144.0/20	Suzhou Institute of Trade & Commerce China
222.192.144.0/24	Suzhou Institute of Trade & Commerce China
222.192.160.0/20	XuZhou vocational Institute of Architectural Technology China
222.192.166.0/24	XuZhou vocational Institute of Architectural Technology China
222.192.173.0/24	XuZhou vocational Institute of Architectural Technology China
222.192.174.0/23	XuZhou vocational Institute of Architectural Technology China
222.192.176.0/22	Nanjing Technical College of Special Education China
222.192.176.0/24	Nanjing Technical College of Special Education China
222.192.180.0/22	SuZhou Health College of Technology China
222.192.184.0/23	China Education and Research Network China
222.192.192.0/18	China Education and Research Network China
222.192.224.0/19	Nanjing College of Information Technology China
222.192.254.0/24	Nanjing College of Information Technology China
222.193.0.0/19	China Education and Research Network China
222.193.16.0/20	Nanjing Medical University China
222.193.32.0/19	Nanjing University of Technology China
222.193.64.0/19	Xuzhou Medical College China
222.193.95.0/24	Xuzhou Medical College China
222.193.96.0/19	China Education and Research Network China
222.193.111.0/24	Hohai University China
222.193.112.0/24	Ying Tian College China
222.193.128.0/20	Jin Ken University China
222.193.139.0/24	Jin Ken University China
222.193.144.0/20	Nantong Vocational College China
222.193.160.0/20	Nanguang Colledge of Communication University of China China
222.193.160.0/24	Nanguang Colledge of Communication University of China China
222.193.176.0/20	Sanjiang University China
222.193.192.0/19	Nanjing University of Traditional Chinese China
222.194.0.0/20	Harbin Institute of Technology at Weihai China
222.194.16.0/20	Shandong University at Weihai China
222.194.32.0/19	Affiliated Network of Shandong University China
222.194.64.0/21	Qilu Software College China
222.194.72.0/21	Shandong Youth Executive Cadre~{!/~}s College China
222.194.73.0/24	Shandong Youth Executive Cadre~{!/~}s College China
222.194.79.0/24	Shandong Youth Executive Cadre~{!/~}s College China
222.194.80.0/20	Jining Educational Hi-Tech Centre China
222.194.96.0/20	Weihai Vocational College China
222.194.112.0/20	China
222.194.128.0/21	Shandong Xiehe College China
222.194.136.0/21	Zaozhuang University China
222.194.160.0/20	Shandong University of Finance China
222.194.160.0/23	Shandong University of Finance China
222.194.168.0/21	Shandong University of Finance China
222.194.176.0/21	Zibo Vocational College China
222.194.184.0/21	Shandong Zibo Normal College China
222.195.0.0/20	the Hefei University Of Technology China
222.195.12.0/24	the Hefei University Of Technology China
222.195.24.0/21	Tong Ling University China
222.195.32.0/19	Anhui University of Technology China
222.195.64.0/19	University of Science and Technology of China China
222.195.112.0/21	Chao Hu College China
222.195.120.0/22	Chao Hu College China
222.195.128.0/19	Ocean University of China China
222.195.128.0/20	Ocean University of China China
222.195.128.0/24	Ocean University of China China
222.195.129.0/24	Ocean University of China China
222.195.130.0/24	Ocean University of China China
222.195.158.0/24	Ocean University of China China
222.195.160.0/21	Qingdao College Of Hotel Management China
222.195.160.0/24	Qingdao College Of Hotel Management China
222.195.167.0/24	Qingdao College Of Hotel Management China
222.195.192.0/19	Qingdao Vocational and Technical College China
222.195.224.0/22	Ocean University of China China
222.195.224.0/24	Ocean University of China China
222.195.228.0/23	Ocean University of China China
222.195.230.0/24	Ocean University of China China
222.195.231.0/24	Ocean University of China China
222.195.232.0/21	Ocean University of China China
222.195.238.0/24	Ocean University of China China
222.195.240.0/20	Qingdao Institute of Architecture And Engineering China
222.196.0.0/20	Chengdu College of Sichuan International Studies University China
222.196.1.0/24	China
222.196.16.0/20	Sichuan International Studies University China
222.196.32.0/20	Southwest University Of Science AndTechnology China
222.196.64.0/19	Panzhihua University China
222.196.96.0/19	West China University of Medical Sciences China
222.196.128.0/20	West China University of Medical Sciences China
222.196.176.0/20	Sichuan Normal University China
222.196.192.0/18	Sichuan Normal University China
222.197.0.0/18	Southwest University of Finance & Economics China
222.197.64.0/19	Southwest University For Nationalities China
222.197.96.0/21	Southwest University For Nationalities China
222.197.104.0/23	The Chengdu University of Science and Technology broadcasts China
222.197.106.0/24	College of Arts and Sciences, SICNU China
222.197.108.0/24	China Education and Research Network China
222.197.128.0/20	Chengdu Medical College China
222.197.128.0/24	Chengdu Medical College China
222.197.133.0/24	Chengdu Medical College China
222.197.134.0/24	Chengdu Medical College China
222.197.136.0/24	Chengdu Medical College China
222.197.137.0/24	Chengdu Medical College China
222.197.138.0/24	Chengdu Medical College China
222.197.143.0/24	China
222.197.160.0/19	University of Electronic Science and Technology of China China
222.197.188.0/24	China
222.197.189.0/24	China
222.197.192.0/19	Kunmimg University of Science and Technology China
222.197.224.0/20	Yunnan Normal University Business School China
222.197.224.0/22	Yunnan Normal University Business School China
222.197.242.0/24	Baoshan Teacher's College China
222.197.243.0/24	WenShan Teachers College China
222.197.245.0/24	Kunming University of Science and Technology Oxbridge China
222.197.246.0/24	Lijiang Teachers Training College China
222.198.0.0/20	China
222.198.32.0/19	China
222.198.64.0/18	Southwest Agricultural University China
222.198.128.0/19	Chongqing University China
222.198.176.0/24	China
222.198.177.0/24	Chongqing Electric Power College China
222.198.178.0/24	Chongqing University of Science and Technology China
222.198.192.0/20	Guizhou Institute of Science and Technology China
222.198.208.0/20	Tongren College China
222.198.224.0/20	Guizhou Radio and TV University China
222.198.240.0/24	Kaili College China
222.198.241.0/24	Guizhou Electronic Information Professional Technology China
222.198.242.0/24	Liupanshui Teacher's College China
222.198.247.0/24	Guizhou Space Vocational Technical College China
222.198.248.0/22	Anshun College China
222.199.0.0/16	China
222.199.0.0/22	ShanXi Engineering Vocational College China
222.199.5.0/24	The Professional Training Academy of Radio Flim & TV China
222.199.6.0/23	Shanxi Vocational Poly-tech College China
222.199.16.0/22	Shanxi Vocational and Technical College Of Electric Power China
222.199.20.0/24	Shanxi Forestry Vocational Technical College China
222.199.22.0/24	Shanxi Coal Vocational Technical College China
222.199.24.0/22	Shanxi Architectural Technical College China
222.199.28.0/22	Shanxi Tourism Vocational College China
